,Okres,GRIPEX            ,GRIPEX CONTROL    ,GRIPEX NOC        ,GRIPEX HOT MAX FOR,GRIPEX MAX        ,GRIPEX SINUCAPS   ,GRIPEX HOT ZATOKI ,GRIPEX HOT        
0,2019-03,91167.0,62.0,11916.0,207507.0,197274.0,128.0,39338.0,54377.0
1,2019-04,67008.0,18.0,9008.0,117140.0,144988.0,93.0,26582.0,37051.0
2,2019-05,54751.0,30.0,6789.0,91526.0,115977.0,53.0,18751.0,26700.0
3,2019-06,28715.0,13.0,3362.0,37328.0,58461.0,47.0,8548.0,10999.0
4,2019-07,34551.0,14.0,4800.0,49836.0,70767.0,18.0,10105.0,14218.0
5,2019-08,34586.0,23.0,5073.0,53218.0,73919.0,33.0,10243.0,14798.0
6,2019-09,113790.0,55.0,13744.0,300399.0,247926.0,75.0,48914.0,76127.0
7,2019-10,100022.0,41.0,15208.0,287344.0,242912.0,115.0,49484.0,68320.0
8,2019-11,86339.0,38.0,13339.0,236973.0,206138.0,88.0,43353.0,47411.0
9,2019-12,104522.0,55.0,16305.0,337885.0,256365.0,107.0,57641.0,58348.0
10,2020-01,101317.0,28.0,15770.0,296391.0,252371.0,87.0,58117.0,72008.0
11,2020-02,119411.0,20.0,16563.0,329366.0,279886.0,120.0,57817.0,80887.0
12,2020-03,196078.0,27.0,22131.0,436203.0,454384.0,152.0,59308.0,97846.0
13,2020-04,42901.0,8.0,4935.0,67148.0,84801.0,36.0,12491.0,15548.0
14,2020-05,20897.0,0.0,3084.0,27607.0,41279.0,18.0,5314.0,6893.0
15,2020-06,15402.0,0.0,2336.0,18160.0,30444.0,16.0,3747.0,4399.0
16,2020-07,23789.0,7.0,3641.0,35333.0,50834.0,10.0,6971.0,9864.0
17,2020-08,37662.0,4.0,5840.0,67080.0,87312.0,22.0,13954.0,16576.0
18,2020-09,89260.0,26.0,12036.0,208497.0,205132.0,47.0,37247.0,56145.0
19,2020-10,139187.0,19.0,19556.0,411652.0,342542.0,192.0,57420.0,91066.0
20,2020-11,87311.0,7.0,13247.0,241848.0,212364.0,96.0,38447.0,50001.0
21,2020-12,63672.0,41.0,10529.0,167627.0,156980.0,62.0,28701.0,33038.0
22,2021-01,47721.0,28.0,7421.0,136712.0,120184.0,39.0,24308.0,30725.0
23,2021-02,50930.0,148.0,7113.0,134659.0,125943.0,29.0,29471.0,33739.0
24,2021-03,73175.0,202.0,10246.0,240381.0,198891.0,81.0,41348.0,47787.0
25,2021-04,53394.0,150.0,6959.0,139214.0,132625.0,51.0,27438.0,31116.0
26,2021-05,37363.0,101.0,4925.0,87135.0,89179.0,0.0,20070.0,18660.0
27,2021-06,32593.0,81.0,3729.0,60898.0,72751.0,29.0,16565.0,14029.0
28,2021-07,28894.0,165.0,3817.0,54890.0,68154.0,12.0,13417.0,12800.0
29,2021-08,46563.0,335.0,6653.0,106704.0,109732.0,50.0,21806.0,25451.0
30,2021-09,110140.0,749.0,14555.0,320491.0,267165.0,41.0,55931.0,75000.0
31,2021-10,97272.0,657.0,14091.0,312572.0,247899.0,48.0,52454.0,67097.0
32,2021-11,99697.0,636.0,14500.0,325640.0,259790.0,66.0,50608.0,60496.0
33,2021-12,101024.0,759.0,14931.0,345672.0,273673.0,78.0,54831.0,60089.0
34,2022-01,100022.0,538.0,14105.0,379026.0,280406.0,64.0,56456.0,77277.0
35,2022-02,73496.0,419.0,10813.0,275245.0,202585.0,59.0,40496.0,53007.0
